ticker,name,sector,industry,index,sector_etf
CHH,Choice Hotels,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",sp400,XLY
CHRD,Chord Energy,Energy,Oil & Gas Exploration & Production,sp400,XLE
CHWY,Chewy,Consumer Discretionary,Other Specialty Retail,sp400,XLY
CLF,Cleveland-Cliffs,Materials,Steel,sp400,XLB
CLH,Clean Harbors,Industrials,Environmental & Facilities Services,sp400,XLI
CMC,Commercial Metals,Materials,Steel,sp400,XLB
CNH,CNH Industrial,Industrials,Agricultural & Farm Machinery,sp400,XLI
CNM,Core & Main,Industrials,Trading Companies & Distributors,sp400,XLI
CNO,CNO Financial Group,Financials,Life & Health Insurance,sp400,XLF
CNX,CNX Resources,Energy,Oil & Gas Exploration & Production,sp400,XLE
COKE,Coca-Cola Consolidated,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,sp400,XLP
COLB,Columbia Banking System,Financials,Regional Banks,sp400,XLF
COLM,Columbia Sportswear,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",sp400,XLY
CPRI,Capri Holdings,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",sp400,XLY
CR,Crane,Industrials,Industrial Machinery & Supplies & Components,sp400,XLI
CRBG,Corebridge Financial,Financials,Asset Management & Custody Banks,sp400,XLF
CROX,Crocs,Consumer Discretionary,Footwear,sp400,XLY
CRS,Carpenter Technology,Industrials,Industrial Machinery & Supplies & Components,sp400,XLI
CRUS,Cirrus Logic,Information Technology,Semiconductors,sp400,XLK
CSL,Carlisle Companies,Industrials,Industrial Conglomerates,sp400,XLI
CTRE,CareTrust REIT,Real Estate,Health Care REITs,sp400,XLRE
CUBE,CubeSmart,Real Estate,Industrial REITs,sp400,XLRE
CUZ,Cousins Properties,Real Estate,Office REITs,sp400,XLRE
CVLT,CommVault Systems,Information Technology,Systems Software,sp400,XLK
CW,Curtiss-Wright,Industrials,Aerospace & Defense,sp400,XLI
CXT,Crane NXT,Information Technology,Electronic Equipment & Instruments,sp400,XLK
CYTK,Cytokinetics,Health Care,Biotechnology,sp400,XLV
DAR,Darling Ingredients,Consumer Staples,Agricultural Products & Services,sp400,XLP
DBX,Dropbox,Information Technology,Application Software,sp400,XLK
DCI,Donaldson Company,Industrials,Industrial Machinery & Supplies & Components,sp400,XLI
DINO,HF Sinclair,Energy,Oil & Gas Refining & Marketing,sp400,XLE
DKS,Dick's Sporting Goods,Consumer Discretionary,Specialty Stores,sp400,XLY
DLB,Dolby,Information Technology,Application Software,sp400,XLK
DOCN,DigitalOcean,Information Technology,Internet Services & Infrastructure,sp400,XLK
DOCS,Doximity,Health Care,Health Care Technology,sp400,XLV
DOCU,Docusign,Information Technology,Application Software,sp400,XLK
DT,Dynatrace,Information Technology,Application Software,sp400,XLK
DTM,DT Midstream,Energy,Oil & Gas Storage & Transportation,sp400,XLE
DUOL,Duolingo,Consumer Discretionary,Education Services,sp400,XLY
DY,Dycom Industries,Industrials,Construction & Engineering,sp400,XLI
EEFT,Euronet Worldwide,Financials,Transaction & Payment Processing Services,sp400,XLF
EGP,EastGroup Properties,Real Estate,Industrial REITs,sp400,XLRE
EHC,Encompass Health,Health Care,Health Care Facilities,sp400,XLV
ELAN,Elanco,Health Care,Pharmaceuticals,sp400,XLV
ELF,e.l.f. Beauty,Consumer Staples,Personal Care Products,sp400,XLP
ELS,Equity Lifestyle Properties,Real Estate,Single-Family Residential REITs,sp400,XLRE
ENS,EnerSys,Industrials,Electrical Components & Equipment,sp400,XLI
ENSG,Ensign Group,Health Care,Health Care Facilities,sp400,XLV
ENTG,Entegris,Information Technology,Semiconductor Materials & Equipment,sp400,XLK
EPR,EPR Properties,Real Estate,Other Specialized REITs,sp400,XLRE
EQH,Equitable Holdings,Financials,Diversified Financial Services,sp400,XLF
ESAB,ESAB,Industrials,Industrial Machinery & Supplies & Components,sp400,XLI
ESNT,Essent Group Ltd.,Financials,Commercial & Residential Mortgage Finance,sp400,XLF
EVR,Evercore,Financials,Investment Banking & Brokerage,sp400,XLF
EWBC,East West Bancorp,Financials,Regional Banks,sp400,XLF
EXEL,Exelixis,Health Care,Biotechnology,sp400,XLV
EXLS,EXL Service,Industrials,Data Processing & Outsourced Services,sp400,XLI
EXP,Eagle Materials,Materials,Construction Materials,sp400,XLB
EXPO,"Exponent, Inc.",Industrials,Research & Consulting Services,sp400,XLI
FAF,First American Financial Corporation,Financials,Property & Casualty Insurance,sp400,XLF
FBIN,Fortune Brands Innovations,Industrials,Building Products,sp400,XLI
FCFS,FirstCash,Financials,Consumer Finance,sp400,XLF
FCN,FTI Consulting,Industrials,Research & Consulting Services,sp400,XLI
FFIN,First Financial Bankshares,Financials,Regional Banks,sp400,XLF
FHI,Federated Hermes,Financials,Asset Management & Custody Banks,sp400,XLF
FHN,First Horizon,Financials,Regional Banks,sp400,XLF
FIVE,Five Below,Consumer Discretionary,Specialty Stores,sp400,XLY
FLG,Flagstar Bank,Financials,Regional Banks,sp400,XLF
FLR,Fluor,Industrials,Construction & Engineering,sp400,XLI
FLS,Flowserve,Industrials,Industrial Machinery & Supplies & Components,sp400,XLI
FN,Fabrinet,Information Technology,Electronic Manufacturing Services,sp400,XLK
FNB,FNB Corporation,Financials,Regional Banks,sp400,XLF
FND,Floor & Decor,Consumer Discretionary,Home Improvement Retail,sp400,XLY
FNF,Fidelity National Financial,Financials,Property & Casualty Insurance,sp400,XLF
FOUR,Shift4,Financials,Transaction & Payment Processing Services,sp400,XLF
FR,First Industrial Realty Trust,Real Estate,Industrial REITs,sp400,XLRE
FTI,TechnipFMC,Energy,Oil & Gas Equipment & Services,sp400,XLE
G,Genpact,Industrials,Data Processing & Outsourced Services,sp400,XLI
GAP,Gap Inc.,Consumer Discretionary,Apparel Retail,sp400,XLY
GATX,GATX,Industrials,Construction Machinery & Heavy Transportation Equipment,sp400,XLI
GBCI,Glacier Bancorp,Financials,Regional Banks,sp400,XLF
GEF,"Greif, Inc.",Materials,"Metal, Glass & Plastic Containers",sp400,XLB
GGG,Graco Inc.,Industrials,Industrial Machinery & Supplies & Components,sp400,XLI
GHC,Graham Holdings,Consumer Discretionary,Education Services,sp400,XLY
GLPI,Gaming and Leisure Properties,Real Estate,Other Specialized REITs,sp400,XLRE
GME,GameStop,Consumer Discretionary,Computer & Electronics Retail,sp400,XLY
GMED,Globus Medical,Health Care,Health Care Equipment,sp400,XLV
GNTX,Gentex,Consumer Discretionary,Automotive Parts & Equipment,sp400,XLY
GPK,Graphic Packaging,Materials,Paper & Plastic Packaging Products & Materials,sp400,XLB
GWRE,Guidewire Software,Information Technology,Application Software,sp400,XLK
GXO,GXO Logistics,Industrials,Air Freight & Logistics,sp400,XLI
H,Hyatt,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",sp400,XLY
HAE,Haemonetics,Health Care,Health Care Supplies,sp400,XLV
HALO,Halozyme,Health Care,Biotechnology,sp400,XLV
HGV,Hilton Grand Vacations,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",sp400,XLY
HIMS,Hims & Hers Health,Health Care,Health Care Services,sp400,XLV
HL,Hecla Mining,Materials,Silver,sp400,XLB
HLI,Houlihan Lokey,Financials,Investment Banking & Brokerage,sp400,XLF
HLNE,Hamilton Lane,Financials,Asset Management & Custody Banks,sp400,XLF
HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,sp400,XLY
HOMB,Home BancShares,Financials,Regional Banks,sp400,XLF
HQY,HealthEquity,Health Care,Managed Health Care,sp400,XLV
HR,Healthcare Realty Trust,Real Estate,Health Care REITs,sp400,XLRE
HRB,H&R Block,Consumer Discretionary,Specialized Consumer Services,sp400,XLY
HWC,Hancock Whitney,Financials,Regional Banks,sp400,XLF
HXL,Hexcel,Industrials,Aerospace & Defense,sp400,XLI
IBOC,Intl Bancshares Corp,Financials,Regional Banks,sp400,XLF
IDA,Idacorp,Utilities,Electric Utilities,sp400,XLU
IDCC,InterDigital,Information Technology,Communications Equipment,sp400,XLK
IESC,IES Holdings,Industrials,Construction & Engineering,sp400,XLI
ILMN,"Illumina, Inc.",Health Care,Life Sciences Tools & Services,sp400,XLV
INGR,Ingredion,Consumer Staples,Agricultural Products & Services,sp400,XLP
IPGP,IPG Photonics,Information Technology,Electronic Manufacturing Services,sp400,XLK
IRT,Independence Realty Trust,Real Estate,Multi-Family Residential REITs,sp400,XLRE
ITT,ITT Inc.,Industrials,Industrial Machinery & Supplies & Components,sp400,XLI
JAZZ,Jazz Pharmaceuticals,Health Care,Pharmaceuticals,sp400,XLV
JEF,Jefferies,Financials,Multi-Sector Holdings,sp400,XLF
JLL,Jones Lang LaSalle,Real Estate,Real Estate Services,sp400,XLRE
KBH,KB Home,Consumer Discretionary,Homebuilding,sp400,XLY
KBR,"KBR, Inc.",Industrials,Diversified Support Services,sp400,XLI
KD,Kyndryl,Information Technology,IT Consulting & Other Services,sp400,XLK
KEX,Kirby Corporation,Industrials,Marine Transportation,sp400,XLI
KNF,Knife River Corporation,Materials,Construction Materials,sp400,XLB
KNSL,Kinsale Capital Group,Financials,Property & Casualty Insurance,sp400,XLF
KNX,Knight-Swift,Industrials,Cargo Ground Transportation,sp400,XLI
KRC,Kilroy Realty Corp,Real Estate,Office REITs,sp400,XLRE
KRG,Kite Realty Group Trust,Real Estate,Retail REITs,sp400,XLRE
KRYS,Krystal Biotech,Health Care,Biotechnology,sp400,XLV
KTOS,Kratos Defense & Security Solutions,Industrials,Aerospace & Defense,sp400,XLI
LAD,Lithia Motors,Consumer Discretionary,Automotive Retail,sp400,XLY
LAMR,Lamar Advertising Company,Real Estate,Other Specialized REITs,sp400,XLRE
LEA,Lear,Consumer Discretionary,Automotive Parts & Equipment,sp400,XLY
LECO,Lincoln Electric,Industrials,Industrial Machinery & Supplies & Components,sp400,XLI
LFUS,Littelfuse,Information Technology,Electronic Components,sp400,XLK
LIVN,LivaNova,Health Care,Health Care Equipment,sp400,XLV
LNTH,Lantheus Holdings,Health Care,Health Care Supplies,sp400,XLV
LOPE,Grand Canyon Education,Consumer Discretionary,Education Services,sp400,XLY
LPX,Louisiana-Pacific,Industrials,Building Products,sp400,XLI
LSCC,Lattice Semiconductor,Information Technology,Semiconductors,sp400,XLK
LSTR,Landstar System,Industrials,Cargo Ground Transportation,sp400,XLI
M,Macy's,Consumer Discretionary,Broadline Retail,sp400,XLY
MANH,Manhattan Associates,Information Technology,Application Software,sp400,XLK
MAT,Mattel,Consumer Discretionary,Leisure Products,sp400,XLY
MEDP,Medpace,Health Care,Life Sciences Tools & Services,sp400,XLV
MIDD,Middleby,Industrials,Industrial Machinery & Supplies & Components,sp400,XLI
MKSI,MKS Instruments,Information Technology,Semiconductor Materials & Equipment,sp400,XLK
MLI,Mueller Industries,Industrials,Industrial Machinery & Supplies & Components,sp400,XLI
MMS,Maximus Inc.,Industrials,Data Processing & Outsourced Services,sp400,XLI
